timestamp,updateId,source,sequenceNumber
1756384596342,75447504513,depth5,1
1756384596395,75447504518,bookTicker,1
1756384596426,75447504520,bookTicker,2
1756384596441,75447504520,depth5,2
1756384596468,75447504521,bookTicker,3
1756384596472,75447504525,bookTicker,4
1756384596473,75447504526,bookTicker,5
1756384596492,75447504527,bookTicker,6
1756384596511,75447504533,bookTicker,7
1756384596525,75447504541,bookTicker,8
1756384596526,75447504544,bookTicker,9
1756384596541,75447504590,depth5,3
1756384596552,75447504550,bookTicker,10
1756384596554,75447504552,bookTicker,11
1756384596555,75447504553,bookTicker,12
1756384596555,75447504554,bookTicker,13
1756384596555,75447504555,bookTicker,14
1756384596556,75447504556,bookTicker,15
1756384596557,75447504557,bookTicker,16
1756384596558,75447504558,bookTicker,17
1756384596558,75447504559,bookTicker,18
1756384596558,75447504560,bookTicker,19
1756384596559,75447504561,bookTicker,20
1756384596559,75447504562,bookTicker,21
1756384596559,75447504563,bookTicker,22
1756384596560,75447504564,bookTicker,23
1756384596560,75447504565,bookTicker,24
1756384596560,75447504566,bookTicker,25
1756384596561,75447504567,bookTicker,26
1756384596561,75447504568,bookTicker,27
1756384596561,75447504570,bookTicker,28
1756384596562,75447504575,bookTicker,29
1756384596567,75447504577,bookTicker,30
1756384596567,75447504578,bookTicker,31
1756384596568,75447504581,bookTicker,32
1756384596568,75447504582,bookTicker,33
1756384596568,75447504584,bookTicker,34
1756384596569,75447504585,bookTicker,35
1756384596569,75447504603,bookTicker,36
1756384596569,75447504609,bookTicker,37
1756384596570,75447504610,bookTicker,38
1756384596570,75447504612,bookTicker,39
1756384596570,75447504617,bookTicker,40
1756384596571,75447504621,bookTicker,41
1756384596571,75447504624,bookTicker,42
1756384596603,75447504628,bookTicker,43
1756384596618,75447504631,bookTicker,44
1756384596626,75447504632,bookTicker,45
1756384596627,75447504634,bookTicker,46
1756384596627,75447504636,bookTicker,47
1756384596628,75447504638,bookTicker,48
1756384596628,75447504639,bookTicker,49
1756384596629,75447504640,bookTicker,50
1756384596629,75447504642,bookTicker,51
1756384596629,75447504644,bookTicker,52
1756384596630,75447504645,bookTicker,53
1756384596630,75447504648,bookTicker,54
1756384596631,75447504654,bookTicker,55
1756384596631,75447504655,bookTicker,56
1756384596632,75447504657,bookTicker,57
1756384596632,75447504659,bookTicker,58
1756384596632,75447504660,bookTicker,59
1756384596633,75447504663,bookTicker,60
1756384596633,75447504666,bookTicker,61
1756384596634,75447504669,bookTicker,62
1756384596634,75447504671,bookTicker,63
1756384596634,75447504672,bookTicker,64
1756384596635,75447504673,bookTicker,65
1756384596635,75447504676,bookTicker,66
1756384596636,75447504678,bookTicker,67
1756384596636,75447504683,bookTicker,68
1756384596636,75447504684,bookTicker,69
1756384596637,75447504686,bookTicker,70
1756384596637,75447504687,bookTicker,71
1756384596637,75447504689,bookTicker,72
1756384596638,75447504690,bookTicker,73
1756384596638,75447504691,bookTicker,74
1756384596642,75447504778,depth5,4
1756384596651,75447504695,bookTicker,75
1756384596652,75447504717,bookTicker,76
1756384596652,75447504720,bookTicker,77
1756384596653,75447504733,bookTicker,78
1756384596653,75447504741,bookTicker,79
1756384596654,75447504742,bookTicker,80
1756384596655,75447504743,bookTicker,81
1756384596655,75447504755,bookTicker,82
1756384596657,75447504757,bookTicker,83
1756384596661,75447504760,bookTicker,84
1756384596666,75447504767,bookTicker,85
1756384596666,75447504768,bookTicker,86
1756384596667,75447504769,bookTicker,87
1756384596667,75447504770,bookTicker,88
1756384596668,75447504775,bookTicker,89
1756384596668,75447504777,bookTicker,90
1756384596668,75447504778,bookTicker,91
1756384596669,75447504781,bookTicker,92
1756384596669,75447504791,bookTicker,93
1756384596670,75447504804,bookTicker,94
1756384596670,75447504819,bookTicker,95
1756384596670,75447504820,bookTicker,96
1756384596671,75447504821,bookTicker,97
1756384596671,75447504830,bookTicker,98
1756384596671,75447504832,bookTicker,99
1756384596672,75447504833,bookTicker,100
1756384596672,75447504837,bookTicker,101
1756384596672,75447504839,bookTicker,102
1756384596673,75447504841,bookTicker,103
1756384596674,75447504843,bookTicker,104
1756384596675,75447504849,bookTicker,105
1756384596675,75447504851,bookTicker,106
1756384596675,75447504852,bookTicker,107
1756384596676,75447504853,bookTicker,108
1756384596676,75447504854,bookTicker,109
1756384596676,75447504855,bookTicker,110
1756384596677,75447504856,bookTicker,111
1756384596677,75447504858,bookTicker,112
1756384596677,75447504859,bookTicker,113
1756384596678,75447504860,bookTicker,114
1756384596679,75447504863,bookTicker,115
1756384596686,75447504867,bookTicker,116
1756384596691,75447504875,bookTicker,117
1756384596691,75447504876,bookTicker,118
1756384596704,75447504888,bookTicker,119
1756384596705,75447504889,bookTicker,120
1756384596705,75447504890,bookTicker,121
1756384596706,75447504891,bookTicker,122
1756384596707,75447504892,bookTicker,123
1756384596717,75447504900,bookTicker,124
1756384596718,75447504906,bookTicker,125
1756384596719,75447504914,bookTicker,126
1756384596731,75447504920,bookTicker,127
1756384596732,75447504921,bookTicker,128
